epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1042.95,1.02824,1.55977,0.00719,0.90338,0.72944,0.756,0.66121,1.44238,2.30913,0.00773,0.000593783,0.000593783,0.000593783
77,1055.92,1.0174,1.55005,0.00706,0.89589,0.73092,0.75638,0.66597,1.43654,2.1529,0.00774,0.0005888,0.0005888,0.0005888
78,1070.2,1.0238,1.54856,0.00696,0.9242,0.72638,0.75524,0.6619,1.42742,2.19603,0.00774,0.00058378,0.00058378,0.00058378
79,1083.93,1.0177,1.51851,0.00702,0.90796,0.7339,0.75663,0.66519,1.40963,2.10726,0.00764,0.000578724,0.000578724,0.000578724
80,1096.9,1.00242,1.48616,0.00708,0.90637,0.73333,0.76215,0.66261,1.46127,2.1416,0.00806,0.000573631,0.000573631,0.000573631
81,1111.1,1.01565,1.54784,0.00718,0.90677,0.73809,0.75707,0.66418,1.43037,2.18289,0.00773,0.000568504,0.000568504,0.000568504
82,1123.36,0.99192,1.50966,0.00691,0.88976,0.74225,0.75764,0.66786,1.42667,2.14792,0.00757,0.000563344,0.000563344,0.000563344
83,1137.54,1.00522,1.51404,0.00712,0.89719,0.73842,0.75782,0.66926,1.44293,2.15233,0.00757,0.000558151,0.000558151,0.000558151
84,1151.64,1.00911,1.51231,0.00701,0.91007,0.73366,0.75946,0.66647,1.42199,2.16898,0.0076,0.000552927,0.000552927,0.000552927
85,1165.3,1.0287,1.54227,0.00711,0.92144,0.73272,0.75781,0.66565,1.40777,2.08624,0.00768,0.000547672,0.000547672,0.000547672
86,1177.81,1.0102,1.50187,0.00691,0.91578,0.74076,0.75957,0.66805,1.39486,2.11973,0.00729,0.000542388,0.000542388,0.000542388
87,1191.26,0.98373,1.46149,0.00669,0.90569,0.73719,0.7613,0.67179,1.41069,2.1416,0.00732,0.000537076,0.000537076,0.000537076
88,1204.94,1.00724,1.47943,0.00677,0.92946,0.73378,0.7559,0.6644,1.41503,2.16391,0.00741,0.000531736,0.000531736,0.000531736
89,1218.92,1.01749,1.50491,0.00678,0.90664,0.74044,0.75768,0.66416,1.41246,2.18445,0.00757,0.000526371,0.000526371,0.000526371
90,1232.7,0.98862,1.49589,0.00686,0.93697,0.73589,0.75976,0.66812,1.43002,2.1436,0.0075,0.00052098,0.00052098,0.00052098
91,1245.96,1.0066,1.47322,0.00684,0.90708,0.73537,0.7565,0.67034,1.38555,2.12288,0.00737,0.000515566,0.000515566,0.000515566
92,1259.48,0.98918,1.43872,0.00669,0.9176,0.7352,0.75978,0.67171,1.41393,2.09069,0.00734,0.000510129,0.000510129,0.000510129
93,1272.42,1.01933,1.51053,0.00693,0.92724,0.726,0.75726,0.67033,1.40071,2.14444,0.00742,0.00050467,0.00050467,0.00050467
94,1286.07,0.98053,1.44534,0.00668,0.90981,0.74511,0.75971,0.67003,1.3946,2.17447,0.00738,0.000499191,0.000499191,0.000499191
95,1300.28,0.98546,1.453,0.00681,0.93947,0.72948,0.75695,0.67021,1.38604,2.10618,0.00726,0.000493693,0.000493693,0.000493693
96,1313.44,0.95906,1.41589,0.00643,0.9138,0.7419,0.76096,0.67111,1.4073,2.16344,0.00733,0.000488176,0.000488176,0.000488176
97,1326.88,0.97069,1.4395,0.00659,0.93065,0.7385,0.76381,0.6775,1.36905,2.09023,0.00713,0.000482642,0.000482642,0.000482642
98,1340.4,0.96354,1.3973,0.00654,0.91265,0.74247,0.7619,0.67019,1.3841,2.1564,0.00723,0.000477092,0.000477092,0.000477092
99,1353.71,0.97589,1.41805,0.00654,0.91659,0.74788,0.76358,0.67469,1.38131,2.14218,0.00711,0.000471527,0.000471527,0.000471527
100,1367.64,0.95837,1.42412,0.00638,0.92301,0.74122,0.76122,0.66981,1.40258,2.19183,0.00728,0.000465948,0.000465948,0.000465948
101,1380.94,0.97726,1.39899,0.00653,0.90963,0.73881,0.75837,0.66856,1.41208,2.15074,0.0072,0.000460357,0.000460357,0.000460357
102,1394.68,0.95837,1.38381,0.00631,0.91827,0.74147,0.76057,0.67193,1.37287,2.15333,0.00701,0.000454754,0.000454754,0.000454754
103,1408.11,0.96495,1.43096,0.00642,0.88883,0.74275,0.75654,0.66736,1.39809,2.19585,0.00711,0.000449141,0.000449141,0.000449141
104,1421.62,0.97473,1.4196,0.00643,0.89056,0.74774,0.76081,0.67259,1.37845,2.15736,0.00714,0.000443518,0.000443518,0.000443518
105,1434.6,0.97894,1.42725,0.0064,0.91713,0.73882,0.76308,0.673,1.38432,2.14535,0.00723,0.000437888,0.000437888,0.000437888
106,1448.24,0.97186,1.39186,0.00644,0.92232,0.74327,0.76433,0.67985,1.38356,2.09664,0.00711,0.00043225,0.00043225,0.00043225
107,1462.05,0.95487,1.36559,0.00641,0.90137,0.74669,0.76133,0.6755,1.38629,2.1327,0.00714,0.000426607,0.000426607,0.000426607
108,1475.51,0.96535,1.37547,0.00627,0.91834,0.7434,0.76266,0.67573,1.38086,2.10813,0.00709,0.000420959,0.000420959,0.000420959
109,1488.37,0.94719,1.36649,0.00624,0.92269,0.73534,0.76179,0.67368,1.3887,2.09631,0.00706,0.000415308,0.000415308,0.000415308
110,1502.2,0.95445,1.34834,0.0063,0.90906,0.75131,0.76429,0.67705,1.36195,2.12609,0.00695,0.000409655,0.000409655,0.000409655
111,1516,0.94867,1.374,0.00635,0.91262,0.74193,0.76445,0.67536,1.37666,2.17066,0.00712,0.000404,0.000404,0.000404
112,1529.69,0.96439,1.35466,0.00649,0.91803,0.74128,0.76507,0.67584,1.3781,2.11171,0.00702,0.000398345,0.000398345,0.000398345
113,1544.3,0.95141,1.36099,0.00637,0.92718,0.73605,0.76363,0.67564,1.37976,2.10245,0.00698,0.000392692,0.000392692,0.000392692
114,1557.8,0.9619,1.40275,0.00605,0.89094,0.74723,0.75694,0.67299,1.38421,2.16258,0.00695,0.000387041,0.000387041,0.000387041
115,1571.23,0.94816,1.35355,0.0061,0.92953,0.7329,0.75885,0.67222,1.40022,2.14953,0.00696,0.000381393,0.000381393,0.000381393
116,1586.73,0.9255,1.34147,0.006,0.91278,0.7446,0.76289,0.67471,1.37125,2.10798,0.00696,0.00037575,0.00037575,0.00037575
117,1604.3,0.95927,1.39608,0.00643,0.9176,0.74484,0.76211,0.67522,1.37954,2.12318,0.00697,0.000370112,0.000370112,0.000370112
118,1618.91,0.95555,1.4146,0.00616,0.92164,0.74564,0.76246,0.6726,1.39072,2.14601,0.00707,0.000364482,0.000364482,0.000364482
119,1632.81,0.93646,1.35468,0.00609,0.91556,0.74296,0.76089,0.6718,1.38702,2.13694,0.007,0.000358859,0.000358859,0.000358859
120,1647.16,0.9376,1.31015,0.00611,0.92784,0.73942,0.76387,0.67622,1.3637,2.13071,0.0069,0.000353246,0.000353246,0.000353246
121,1663.93,0.95172,1.33232,0.0062,0.91914,0.74643,0.76428,0.67528,1.3772,2.14056,0.00691,0.000347643,0.000347643,0.000347643
122,1680.44,0.93611,1.32783,0.00609,0.93472,0.74155,0.76144,0.67382,1.39371,2.13705,0.00699,0.000342052,0.000342052,0.000342052
123,1694.49,0.92401,1.31172,0.00601,0.9074,0.74998,0.76294,0.66994,1.41242,2.12591,0.00699,0.000336473,0.000336473,0.000336473
